Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0xbdb5661a7c259c8cdc6416f8202f18b9c5b65ee3beda6528cd50262d549f360e,Approve,36302102,325 days 1 hr ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: GHST Token,0 MATIC,0.00156239,2022-12-01 14:49:15.633990
0x5eac41cdff6138dddcd8bc5f673eb7d7bdca8bd0a05fb08482ee4342123a3a74,Add ERC721Listin...,36302021,325 days 1 hr ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.03308321,2022-12-01 14:49:15.633990
0x7196fe617412b208780671921d9479093c677ec974a1de8e63a43046461c2f73,Add ERC721Listin...,36301912,325 days 1 hr ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.03486891,2022-12-01 14:49:15.633990
0xc946223444f57a47d35dbb66de0038aa41c031424dbd6524ecc17fe39cd1d594,Add ERC721Listin...,36301801,325 days 1 hr ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.03617015,2022-12-01 14:49:15.633990
0x2f4630c4134b13fb7546245a3f55e8030e222452390f91dd7e6cdff62909467c,Add ERC721Listin...,36013307,332 days 3 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.16606064,2022-11-24 12:49:15.633990
0x64e9f91b97ee173559441038c45fe605f3f63790a8a34be8918d2e744d141c1f,Add ERC721Listin...,35927750,334 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.14636696,2022-11-22 10:49:15.633990
0x4dc63b7c61f560f3dcc2b87686b338115593dc573caca4b42c08df7e9ff0d3fc,Cancel ERC721Lis...,35927735,334 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: NFTs,0 MATIC,0.03527805,2022-11-22 10:49:15.633990
0xa648241e883e79a625168a62beff4d63a7a534700f304ec5b5583c81611603e9,Swap ETH For Exa...,35927688,334 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,QuickSwap: Router,1.212322705140184 MATIC,0.02295444,2022-11-22 10:49:15.633990
0x0909246dbee90d77f0bf15e93e5bb4fdcdbba8f5fb3dfa6cf102c50644af8a81,Withdraw,35927676,334 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Polygon: WMATIC Token,0 MATIC,0.00499376,2022-11-22 10:49:15.633990
0x3aa23e8bd0a81e80afe5fd8723449f605c0f392347421a93af0bb4fb7e89c7e2,Transfer,31474052,445 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Circle: USDC.e Token,0 MATIC,0.00410032,2022-08-03 10:49:15.633990
